card_id;disp_id;type;issued
780;5333;classic;980729
509;3253;gold;980730
308;1938;classic;980730
618;3947;classic;980731
209;1251;classic;980731
1155;12088;classic;980801
95;519;junior;980801
833;6299;classic;980801
319;2038;junior;980802
795;5563;classic;980802
508;3249;classic;980803
78;468;classic;980804
683;4437;classic;980805
32;219;classic;980806
550;3515;classic;980808
1217;13098;junior;980809
1003;9274;classic;980809
179;1059;classic;980810
169;1019;classic;980810
221;1339;classic;980810
684;4457;classic;980811
77;466;classic;980813
581;3721;classic;980813
47;280;classic;980813
386;2478;classic;980814
346;2177;classic;980814
406;2548;classic;980816
951;8392;classic;980816
519;3297;classic;980816
321;2058;gold;980816
128;716;classic;980819
711;4592;classic;980819
538;3414;gold;980820
29;192;classic;980820
834;6301;classic;980821
461;2977;gold;980821
239;1453;gold;980824
395;2502;classic;980824
531;3378;gold;980824
1150;12020;classic;980825
96;528;classic;980826
367;2343;classic;980827
1023;9621;classic;980830
702;4543;classic;980830
405;2542;classic;980831
480;3092;classic;980901
1098;11063;classic;980901
79;469;classic;980902
402;2536;classic;980903
551;3517;classic;980903
425;2662;junior;980904
1195;12787;gold;980904
1154;12070;classic;980905
307;1930;gold;980905
752;4944;junior;980906
134;769;classic;980907
285;1811;gold;980910
544;3448;gold;980910
526;3339;classic;980910
352;2235;classic;980911
328;2121;junior;980912
26;161;classic;980914
141;808;classic;980915
151;861;classic;980916
203;1231;classic;980916
653;4212;classic;980916
880;7186;classic;980917
620;3959;classic;980917
630;4019;classic;980918
1188;12678;classic;980919
389;2489;gold;980919
1024;9622;classic;980920
193;1179;gold;980921
758;5016;classic;980921
634;4081;junior;980922
361;2312;classic;980923
242;1473;classic;980924
923;7855;classic;980924
1007;9333;gold;980925
520;3308;classic;980925
629;4018;junior;980925
335;2137;classic;980925
414;2606;classic;980926
36;236;classic;980928
561;3581;gold;980928
291;1836;classic;980929
231;1390;junior;980929
782;5376;classic;980929
180;1062;classic;980929
765;5175;classic;980929
357;2277;junior;980929
554;3535;classic;980929
956;8502;classic;980930
676;4380;classic;980930
255;1579;gold;981001
1193;12743;classic;981001
416;2616;classic;981001
585;3753;gold;981001
744;4863;classic;981002
23;146;classic;981003
394;2501;classic;981005
460;2971;classic;981005
35;231;classic;981007
447;2845;classic;981007
264;1669;classic;981007
245;1483;classic;981008
505;3233;junior;981009
336;2138;junior;981009
366;2335;classic;981009
533;3384;classic;981009
288;1826;classic;981010
754;4976;junior;981010
116;646;classic;981011
1035;9732;classic;981011
682;4429;classic;981011
792;5526;classic;981011
385;2476;classic;981012
53;333;classic;981013
751;4941;junior;981015
614;3938;junior;981016
957;8506;junior;981016
1;9;gold;981016
743;4862;gold;981018
61;374;classic;981018
60;370;classic;981018
74;453;classic;981018
749;4929;classic;981019
339;2154;classic;981019
769;5224;classic;981020
488;3134;gold;981020
31;208;classic;981021
542;3439;classic;981022
750;4937;classic;981024
855;6764;classic;981024
299;1886;classic;981025
158;928;gold;981025
857;6789;junior;981025
230;1388;gold;981025
295;1864;classic;981026
584;3751;classic;981028
449;2865;classic;981028
351;2232;classic;981101
138;791;classic;981102
524;3333;classic;981102
693;4495;junior;981103
604;3858;classic;981104
746;4901;classic;981104
333;2128;classic;981104
129;719;classic;981105
429;2709;classic;981105
424;2659;classic;981106
345;2175;classic;981107
1165;12291;classic;981108
1070;10490;junior;981108
217;1316;classic;981109
636;4091;junior;981109
820;6039;classic;981110
46;273;classic;981110
742;4833;classic;981110
404;2540;junior;981112
102;575;classic;981112
455;2924;classic;981113
253;1536;gold;981114
570;3620;classic;981114
27;167;junior;981115
580;3713;classic;981116
409;2562;classic;981116
205;1242;classic;981116
773;5245;classic;981118
487;3130;classic;981118
177;1056;classic;981119
632;4069;classic;981119
445;2820;gold;981119
1001;9247;classic;981120
257;1589;classic;981120
178;1057;classic;981121
704;4553;gold;981121
56;339;classic;981122
148;834;classic;981122
392;2496;classic;981122
523;3319;junior;981123
1175;12494;classic;981124
466;2998;classic;981125
500;3192;classic;981126
4;42;classic;981126
388;2488;junior;981126
164;992;classic;981129
489;3135;classic;981129
626;3992;classic;981130
1169;12354;classic;981130
1137;11771;gold;981201
677;4382;junior;981201
20;131;classic;981202
657;4246;junior;981202
219;1329;classic;981204
819;5978;gold;981206
1177;12535;gold;981206
341;2156;gold;981206
692;4493;classic;981208
715;4639;junior;981208
131;725;classic;981208
201;1223;classic;981208
605;3874;classic;981211
306;1929;classic;981211
378;2430;classic;981211
549;3504;classic;981212
371;2388;gold;981213
147;826;junior;981213
527;3348;junior;981214
172;1030;classic;981214
886;7325;classic;981215
479;3085;classic;981216
691;4492;classic;981216
560;3577;classic;981217
452;2910;classic;981219
506;3236;gold;981219
735;4772;classic;981219
654;4230;classic;981221
196;1197;classic;981222
473;3063;classic;981222
829;6255;classic;981222
310;1947;junior;981223
76;464;classic;981223
573;3638;classic;981223
240;1459;classic;981223
728;4725;classic;981224
924;7862;classic;981224
486;3128;gold;981225
1081;10696;classic;981225
753;4974;classic;981225
442;2796;classic;981226
125;694;gold;981226
674;4360;classic;981228
322;2063;classic;981228
685;4467;classic;981229
635;4083;classic;981229
